Step,B
0.0,2495187.0
5.0,2533995.0
10.0,2377538.0
15.0,2777266.0
20.0,2223504.0
25.0,2239158.0
30.0,2216727.0
35.0,1813264.0
40.0,1743525.0
45.0,1815783.0
50.0,1985429.0
55.0,1977803.0
60.0,2283763.0
65.0,1843730.0
70.0,1835742.0
75.0,2086933.0
80.0,2280445.0
85.0,2032050.0
90.0,1504195.0
95.0,1791418.0
100.0,1712735.0
105.0,1821967.0
110.0,1803113.0
115.0,2008061.0
120.0,1733451.0
125.0,2263019.0
130.0,2204917.0
135.0,2115337.0
140.0,2391486.0
145.0,2216395.0
150.0,1690704.0
155.0,1593347.0
160.0,1364317.0
165.0,1885478.0
170.0,1938330.0
175.0,1575338.0
180.0,1400874.0
185.0,1575400.0
190.0,1577407.0
195.0,1913820.0
200.0,1674284.0
205.0,2178625.0
210.0,1623459.0
215.0,1746092.0
220.0,1418991.0
225.0,1856780.0
230.0,1587248.0
235.0,1621792.0
240.0,1326971.0
245.0,1520368.0
250.0,1630263.0
255.0,1776616.0
260.0,1333767.0
265.0,1518488.0
270.0,1526332.0
275.0,1656272.0
280.0,1984475.0
285.0,2258731.0
290.0,1522335.0
295.0,1729398.0
300.0,1970727.0
305.0,2161041.0
310.0,1990252.0
315.0,2211317.0
320.0,2309132.0
325.0,2169985.0
330.0,1595801.0
335.0,1843469.0
340.0,2159686.0
345.0,2178429.0
350.0,2066575.0
355.0,2015734.0
360.0,1634540.0
365.0,1999906.0
370.0,2015057.0
375.0,1889311.0
380.0,1887297.0
385.0,2028080.0
390.0,2208344.0
395.0,2200734.0
400.0,2144163.0
405.0,2746960.0
410.0,2209246.0
415.0,1995104.0
420.0,2026407.0
425.0,1935388.0
430.0,2125120.0
435.0,2633318.0
440.0,2615722.0
445.0,2479007.0
450.0,2182377.0
455.0,2068716.0
460.0,2165761.0
465.0,2202295.0
470.0,1782194.0
475.0,1860860.0
480.0,2269595.0
485.0,2067676.0
490.0,2533854.0
495.0,2410141.0
500.0,2291977.0
505.0,1905781.0
510.0,2040588.0
515.0,2718242.0
520.0,2392292.0
525.0,2399930.0
530.0,2278545.0
535.0,1999793.0
540.0,2233159.0
545.0,2264704.0
550.0,2347313.0
555.0,2001804.0
560.0,2217890.0
565.0,2369898.0
570.0,2681453.0
575.0,2389282.0
580.0,2216891.0
585.0,2493776.0
590.0,2341527.0
595.0,2614625.0
600.0,2458066.0
605.0,2616880.0
610.0,2615044.0
615.0,2794228.0
620.0,2530972.0
625.0,2752899.0
630.0,2306489.0
635.0,2997007.0
640.0,3218968.0
645.0,3563836.0
650.0,2833730.0
655.0,3098801.0
660.0,3281579.0
665.0,2990563.0
670.0,1990239.0
675.0,2155044.0
680.0,2113187.0
685.0,2398433.0
690.0,2834672.0
695.0,3015773.0
700.0,2838336.0
705.0,2778812.0
710.0,2957585.0
715.0,2529938.0
720.0,3069232.0
725.0,2719835.0
730.0,3039156.0
735.0,3220019.0
740.0,2751353.0
745.0,2677019.0
750.0,2647181.0
755.0,2977105.0
760.0,2602945.0
765.0,2360689.0
770.0,2495675.0
775.0,2436765.0
780.0,2971651.0
785.0,2903889.0
790.0,2390657.0
795.0,2300453.0
800.0,2324081.0
805.0,2149109.0
810.0,2404437.0
815.0,2024768.0
820.0,2167564.0
825.0,2494342.0
830.0,2259819.0
835.0,2161997.0
840.0,2170165.0
845.0,2228397.0
850.0,2922065.0
855.0,2804582.0
860.0,2810112.0
865.0,2448622.0
870.0,2138793.0
875.0,2266642.0
880.0,3013497.0
885.0,2580424.0
890.0,2857227.0
895.0,2149581.0
